firstname,lastname,address,city,state,zip,country,company,phone,cvv,expirationDate,email,amount,cardPAN
Karen,Mitchell,01438 Fieldstone Way,Lancaster,Pennsylvania,17605,United States,Yacero,717.615.2865,438,05/19,kmitchell0@flavors.me,174.57,5314 5016 8681 0737
Shirley,Weaver,313 Morningstar Parkway,Cleveland,Ohio,44125,United States,Gigabox,217.352.6515,276,01/19,sweaver1@salon.com,394.93,5314 5043 2464 3270
Jerry,Castillo,5 Welch Terrace,Aurora,Colorado,80015,United States,Muxo,303.611.2283,598,02/19,jcastillo2@state.gov,978.14,5314 5084 2268 3153
Elizabeth,Perkins,30 Carioca Alley,Macon,Georgia,31205,United States,Skynoodle,478.842.5628,788,01/19,eperkins3@instagram.com,205.3,5314 5014 2761 6211
Ryan,Barnes,907 Merrick Circle,Provo,Utah,84605,United States,Edgetag,801.473.8821,235,08/19,rbarnes4@blogtalkradio.com,805.03,5314 5055 2656 7035
David,Dean,8 Tennessee Terrace,Chattanooga,Tennessee,37410,United States,Jabbertype,423.897.0934,400,03/19,ddean5@mozilla.org,897.98,5314 5051 3706 0834
Annie,Ray,3 Scoville Parkway,San Diego,California,92145,United States,Kazu,858.824.4175,320,10/19,aray6@si.edu,501.14,5314 5055 8257 1574
Jennifer,Gutierrez,655 Northridge Avenue,Santa Fe,New Mexico,87505,United States,Oyoba,505.833.1254,930,09/19,jgutierrez7@businesswire.com,527.7,5314 5035 5723 1712
Michael,Davis,2 Blaine Junction,Pomona,California,91797,United States,Photojam,909.387.8356,257,06/19,mdavis8@bbb.org,842.94,5314 5020 4758 6768
Joseph,Adams,739 Lotheville Way,Iowa City,Iowa,52245,United States,Skaboo,319.902.2920,287,05/19,jadams9@berkeley.edu,365.32,5314 5052 1622 8443
Keith,Black,8 Del Mar Hill,Shreveport,Louisiana,71137,United States,Eare,318.875.7222,144,04/19,kblacka@sohu.com,859.04,5314 5042 2317 0037
Marie,Fernandez,4 Truax Trail,Fort Lauderdale,Florida,33320,United States,Innotype,754.570.1041,759,04/19,mfernandezb@chron.com,286.87,5314 5076 1300 7214
Jose,Ford,42 American Road,Birmingham,Alabama,35244,United States,Yozio,205.901.2403,129,07/19,jfordc@fastcompany.com,969,5314 5048 2876 4515
